1,482,510,884,510,884,1180,482,1180
2,676,585,737,585,737,811,676,811
3,396,273,566,273,566,1071,396,1071
4,604,529,677,529,677,833,604,833
5,696,654,762,654,762,929,696,929
6,714,756,823,756,823,1165,714,1165
7,412,455,589,455,589,1065,412,1065
8,453,621,580,621,580,1081,453,1081
9,601,470,773,470,773,913,601,913
10,867,560,943,560,943,933,867,933
11,413,588,487,588,487,929,413,929
12,682,250,915,250,915,1318,682,1318
13,594,460,715,460,715,874,594,874
14,591,420,781,420,781,1038,591,1038
15,228,187,476,187,476,1207,228,1207
16,544,756,605,756,605,1038,544,1038
17,696,188,915,188,915,705,696,705
18,556,502,677,502,677,1016,556,1016
